data,pedido_id,cliente_id,produto,categoria,preco_unitario,quantidade,custo_unitario,forma_pagamento,estado
2024-01-07,REQ100885,CLI5539,"Monitor 27""",Informática,1500.55,2,958.73,Crédito,AC
2024-01-07,REQ102491,CLI4260,"Smart TV 55""",Eletrônicos,3512.33,1,1880.75,Crédito,BA
2024-01-07,REQ102504,CLI3654,Película de Vidro,Acessórios,107.01,1,59.39,Crédito,SP
2024-01-08,REQ101469,CLI1825,"Smart TV 55""",Eletrônicos,5926.17,2,3436.14,Crédito,RS
2024-01-08,REQ102152,CLI7138,Notebook Dell Inspiron,Informática,1740.20,1,1117.64,Crédito,PI
2024-01-09,REQ100604,CLI1925,Papel A4 500 fls,Escritório,284.94,2,201.23,Crédito,PB
2024-01-09,REQ100831,CLI1593,Organizador de Mesa,Escritório,118.88,2,75.17,Crédito,MA
2024-01-10,REQ101068,CLI1596,Cafeteira Elétrica,Casa,682.47,1,510.76,Crédito,RS
2024-01-10,REQ101323,CLI2765,Cabo USB-C,Acessórios,59.12,3,35.70,Débito,AC
2024-01-10,REQ102993,CLI4929,Mesa de Centro,Casa,508.64,1,385.22,Crédito,ES
2024-01-11,REQ100698,CLI5549,Capa de Celular,Acessórios,183.59,2,120.87,Crédito,SP
2024-01-12,REQ100469,CLI7749,iPhone 14,Eletrônicos,2838.90,2,1442.73,Pix,RN
2024-01-12,REQ101277,CLI7219,Carregador Portátil,Acessórios,83.88,2,43.21,Pix,RJ
2024-01-12,REQ102438,CLI1553,Cabo USB-C,Acessórios,245.80,2,168.46,Pix,MS
2024-01-13,REQ102259,CLI7577,Console PlayStation 5,Eletrônicos,6997.69,1,5315.97,Crédito,RS
2024-01-14,REQ100051,CLI5278,Organizador de Mesa,Escritório,1416.08,2,749.95,Pix,SE
2024-01-14,REQ102390,CLI1552,Cafeteira Elétrica,Casa,694.91,1,471.28,Crédito,RJ
2024-01-14,REQ102653,CLI4091,Suporte para Notebook,Escritório,603.04,1,472.83,Pix,SE
2024-01-15,REQ100838,CLI3582,Console PlayStation 5,Eletrônicos,5344.03,2,3038.61,Boleto,SE
2024-01-15,REQ102254,CLI8244,Mouse Gamer,Informática,3974.92,2,2794.77,Crédito,MG
2024-01-15,REQ102289,CLI7678,Capa de Celular,Acessórios,95.26,3,67.70,Pix,TO
2024-01-16,REQ100078,CLI3654,Console PlayStation 5,Eletrônicos,3962.47,2,2733.35,Pix,RJ
2024-01-16,REQ102487,CLI5559,Fone de Ouvido Bluetooth,Acessórios,66.95,1,41.06,Pix,RJ
2024-01-17,REQ102520,CLI2865,Fone de Ouvido Bluetooth,Acessórios,27.35,5,14.74,Crédito,RS
2024-01-18,REQ100222,CLI1455,Película de Vidro,Acessórios,225.84,2,126.76,Crédito,SC
2024-01-18,REQ101879,CLI4475,Cabo USB-C,Acessórios,66.98,2,41.94,Crédito,PB
2024-01-18,REQ102656,CLI9558,Fone de Ouvido Bluetooth,Acessórios,229.29,1,179.98,Débito,SC
2024-01-18,REQ102969,CLI1353,Capa de Celular,Acessórios,116.38,4,64.52,Pix,AL
2024-01-19,REQ101651,CLI3810,Teclado Mecânico,Informática,4474.96,2,2633.04,Crédito,MA
2024-01-19,REQ102075,CLI8645,Cafeteira Elétrica,Casa,476.67,1,269.58,Crédito,MS
2024-01-19,REQ102214,CLI5765,SSD 1TB,Informática,563.60,1,399.03,Pix,MG
2024-01-19,REQ102368,CLI4797,Capa de Celular,Acessórios,239.10,5,175.28,Pix,GO
2024-01-20,REQ100156,CLI6820,Jogo de Panelas,Casa,503.07,2,295.31,Crédito,PI
2024-01-20,REQ101006,CLI7672,Organizador de Mesa,Escritório,33.52,2,20.70,Crédito,GO
2024-01-20,REQ102674,CLI5362,Capa de Celular,Acessórios,203.50,5,139.06,Débito,GO
2024-01-20,REQ102813,CLI1323,Carregador Portátil,Acessórios,75.98,2,44.51,Pix,BA
2024-01-21,REQ100021,CLI4185,Capa de Celular,Acessórios,230.91,4,166.35,Boleto,PB
2024-01-21,REQ100199,CLI3290,Fone de Ouvido Bluetooth,Acessórios,51.69,2,33.46,Pix,BA
2024-01-21,REQ100334,CLI4760,Organizador de Mesa,Escritório,252.79,2,146.11,Crédito,ES
2024-01-21,REQ100342,CLI9403,SSD 1TB,Informática,821.60,1,633.81,Boleto,ES
2024-01-21,REQ100719,CLI2188,Capa de Celular,Acessórios,200.75,5,130.42,Crédito,MG
2024-01-21,REQ100820,CLI7019,Mesa de Centro,Casa,1088.06,1,548.01,Crédito,PA
2024-01-21,REQ102826,CLI3493,Capa de Celular,Acessórios,54.54,5,33.48,Boleto,PE
2024-01-22,REQ100006,CLI9116,Capa de Celular,Acessórios,75.24,3,45.68,Pix,RJ
2024-01-22,REQ100272,CLI6362,Jogo de Panelas,Casa,368.00,1,199.40,Pix,AC
2024-01-22,REQ102664,CLI9875,SSD 1TB,Informática,2269.49,2,1453.96,Crédito,SP
2024-01-23,REQ100315,CLI6707,Cabo USB-C,Acessórios,65.06,4,39.04,Crédito,AM
2024-01-23,REQ100558,CLI8698,Película de Vidro,Acessórios,226.42,2,136.15,Débito,SC
2024-01-23,REQ100692,CLI6331,Carregador Portátil,Acessórios,35.24,5,18.69,Boleto,TO
2024-01-23,REQ101615,CLI6325,Papel A4 500 fls,Escritório,1382.25,2,934.11,Pix,PR
2024-01-24,REQ102006,CLI5113,Cabo USB-C,Acessórios,199.33,4,107.03,Débito,AC
2024-01-24,REQ102174,CLI9695,Carregador Portátil,Acessórios,141.82,1,80.00,Pix,CE
2024-01-24,REQ102763,CLI1188,"Monitor 27""",Informática,3649.05,1,2195.55,Pix,GO
2024-01-25,REQ101145,CLI2619,Cafeteira Elétrica,Casa,975.94,1,763.70,Crédito,RO
2024-01-25,REQ102478,CLI4383,Fone de Ouvido Bluetooth,Acessórios,113.30,2,70.87,Crédito,MT
2024-01-26,REQ100182,CLI3307,SSD 1TB,Informática,841.81,2,613.49,Crédito,BA
2024-01-26,REQ101746,CLI9965,Cabo USB-C,Acessórios,39.89,2,26.73,Crédito,MT
2024-01-26,REQ101832,CLI8592,Jogo de Panelas,Casa,393.58,2,305.00,Pix,MA
2024-01-26,REQ102610,CLI1832,Capa de Celular,Acessórios,223.08,1,120.97,Crédito,ES
2024-01-27,REQ100770,CLI4382,Película de Vidro,Acessórios,27.81,2,19.69,Débito,PB
2024-01-27,REQ102608,CLI4030,Fritadeira Air Fryer,Casa,1120.49,2,717.85,Débito,CE
2024-01-28,REQ100466,CLI8181,Cabo USB-C,Acessórios,144.83,1,75.76,Pix,MS
2024-01-29,REQ101359,CLI3968,"Monitor 27""",Informática,163.66,1,84.94,Pix,CE
2024-01-29,REQ101845,CLI4700,iPhone 14,Eletrônicos,2968.17,2,2357.80,Crédito,RR
2024-01-29,REQ102314,CLI8468,Mesa de Centro,Casa,1085.95,1,650.79,Pix,PR
2024-01-30,REQ101791,CLI7120,Cabo USB-C,Acessórios,84.59,1,43.03,Boleto,RS
2024-01-30,REQ102341,CLI1007,Console PlayStation 5,Eletrônicos,3036.15,2,1816.28,Pix,ES
2024-01-30,REQ102874,CLI8776,Console PlayStation 5,Eletrônicos,4325.38,1,3249.87,Crédito,GO
2024-01-31,REQ101391,CLI9612,Cabo USB-C,Acessórios,110.93,3,72.01,Crédito,DF
2024-01-31,REQ101680,CLI5108,Mesa de Centro,Casa,153.85,2,109.33,Pix,MT
2024-02-01,REQ100016,CLI4721,Mesa de Centro,Casa,649.16,1,424.87,Pix,AC
2024-02-01,REQ100828,CLI7050,Capa de Celular,Acessórios,197.29,2,137.17,Pix,AL
2024-02-01,REQ101819,CLI1127,Fritadeira Air Fryer,Casa,533.77,2,395.01,Crédito,TO
2024-02-01,REQ102107,CLI7327,Carregador Portátil,Acessórios,242.80,4,126.56,Crédito,PR
